Aviation Analytics Mart -- Redshift | Table: dim_date
Enterprise calendar dimension -- static reference table. One row per calendar day. Powers all time-series and period-over-period reporting across the Gold layer.
date_key,date,day,week,month,quarter,year,is_weekend_flag,holiday_flag
20240101,2024-01-01,1,1,1,1,2024,FALSE,TRUE
20240102,2024-01-02,2,1,1,1,2024,FALSE,FALSE
20240103,2024-01-03,3,1,1,1,2024,FALSE,FALSE
20240104,2024-01-04,4,1,1,1,2024,FALSE,FALSE
20240105,2024-01-05,5,1,1,1,2024,FALSE,FALSE
20240106,2024-01-06,6,1,1,1,2024,TRUE,FALSE
20240107,2024-01-07,7,1,1,1,2024,TRUE,FALSE
20240108,2024-01-08,8,2,1,1,2024,FALSE,FALSE
20240109,2024-01-09,9,2,1,1,2024,FALSE,FALSE
20240110,2024-01-10,10,2,1,1,2024,FALSE,FALSE
20240111,2024-01-11,11,2,1,1,2024,FALSE,FALSE
20240112,2024-01-12,12,2,1,1,2024,FALSE,FALSE
20240113,2024-01-13,13,2,1,1,2024,TRUE,FALSE
20240114,2024-01-14,14,2,1,1,2024,TRUE,FALSE
20240115,2024-01-15,15,3,1,1,2024,FALSE,FALSE
20240116,2024-01-16,16,3,1,1,2024,FALSE,FALSE
20240117,2024-01-17,17,3,1,1,2024,FALSE,FALSE
20240118,2024-01-18,18,3,1,1,2024,FALSE,FALSE
20240119,2024-01-19,19,3,1,1,2024,FALSE,FALSE
20240120,2024-01-20,20,3,1,1,2024,TRUE,FALSE
20240121,2024-01-21,21,3,1,1,2024,TRUE,FALSE
20240122,2024-01-22,22,4,1,1,2024,FALSE,FALSE
20240123,2024-01-23,23,4,1,1,2024,FALSE,FALSE
20240124,2024-01-24,24,4,1,1,2024,FALSE,FALSE
20240125,2024-01-25,25,4,1,1,2024,FALSE,FALSE
20240126,2024-01-26,26,4,1,1,2024,FALSE,FALSE
20240127,2024-01-27,27,4,1,1,2024,TRUE,FALSE
20240128,2024-01-28,28,4,1,1,2024,TRUE,FALSE
20240129,2024-01-29,29,5,1,1,2024,FALSE,FALSE
20240130,2024-01-30,30,5,1,1,2024,FALSE,FALSE
20240131,2024-01-31,31,5,1,1,2024,FALSE,FALSE
20240201,2024-02-01,1,5,2,1,2024,FALSE,FALSE
20240202,2024-02-02,2,5,2,1,2024,FALSE,FALSE
20240203,2024-02-03,3,5,2,1,2024,TRUE,FALSE
20240204,2024-02-04,4,5,2,1,2024,TRUE,FALSE
20240205,2024-02-05,5,6,2,1,2024,FALSE,FALSE
20240206,2024-02-06,6,6,2,1,2024,FALSE,FALSE
20240207,2024-02-07,7,6,2,1,2024,FALSE,FALSE
20240208,2024-02-08,8,6,2,1,2024,FALSE,FALSE
20240209,2024-02-09,9,6,2,1,2024,FALSE,FALSE
20240210,2024-02-10,10,6,2,1,2024,TRUE,FALSE
20240211,2024-02-11,11,6,2,1,2024,TRUE,FALSE
20240212,2024-02-12,12,7,2,1,2024,FALSE,FALSE
20240213,2024-02-13,13,7,2,1,2024,FALSE,FALSE
20240214,2024-02-14,14,7,2,1,2024,FALSE,FALSE
20240215,2024-02-15,15,7,2,1,2024,FALSE,FALSE
20240216,2024-02-16,16,7,2,1,2024,FALSE,FALSE
20240217,2024-02-17,17,7,2,1,2024,TRUE,FALSE
20240218,2024-02-18,18,7,2,1,2024,TRUE,FALSE
20240219,2024-02-19,19,8,2,1,2024,FALSE,FALSE
20240220,2024-02-20,20,8,2,1,2024,FALSE,FALSE
20240221,2024-02-21,21,8,2,1,2024,FALSE,FALSE
20240222,2024-02-22,22,8,2,1,2024,FALSE,FALSE
20240223,2024-02-23,23,8,2,1,2024,FALSE,FALSE
20240224,2024-02-24,24,8,2,1,2024,TRUE,FALSE
20240225,2024-02-25,25,8,2,1,2024,TRUE,FALSE
20240226,2024-02-26,26,9,2,1,2024,FALSE,FALSE
20240227,2024-02-27,27,9,2,1,2024,FALSE,FALSE
20240228,2024-02-28,28,9,2,1,2024,FALSE,FALSE
20240229,2024-02-29,29,9,2,1,2024,FALSE,FALSE
20240301,2024-03-01,1,9,3,1,2024,FALSE,FALSE
20240302,2024-03-02,2,9,3,1,2024,TRUE,FALSE
20240303,2024-03-03,3,9,3,1,2024,TRUE,FALSE
20240304,2024-03-04,4,10,3,1,2024,FALSE,FALSE
20240305,2024-03-05,5,10,3,1,2024,FALSE,FALSE
20240306,2024-03-06,6,10,3,1,2024,FALSE,FALSE
20240307,2024-03-07,7,10,3,1,2024,FALSE,FALSE
20240308,2024-03-08,8,10,3,1,2024,FALSE,FALSE
20240309,2024-03-09,9,10,3,1,2024,TRUE,FALSE
20240310,2024-03-10,10,10,3,1,2024,TRUE,FALSE
20240311,2024-03-11,11,11,3,1,2024,FALSE,FALSE
20240312,2024-03-12,12,11,3,1,2024,FALSE,FALSE
20240313,2024-03-13,13,11,3,1,2024,FALSE,FALSE
20240314,2024-03-14,14,11,3,1,2024,FALSE,FALSE
20240315,2024-03-15,15,11,3,1,2024,FALSE,FALSE
20240316,2024-03-16,16,11,3,1,2024,TRUE,FALSE
20240317,2024-03-17,17,11,3,1,2024,TRUE,FALSE
20240318,2024-03-18,18,12,3,1,2024,FALSE,FALSE
20240319,2024-03-19,19,12,3,1,2024,FALSE,FALSE
20240320,2024-03-20,20,12,3,1,2024,FALSE,FALSE
20240321,2024-03-21,21,12,3,1,2024,FALSE,FALSE
20240322,2024-03-22,22,12,3,1,2024,FALSE,FALSE
20240323,2024-03-23,23,12,3,1,2024,TRUE,FALSE
20240324,2024-03-24,24,12,3,1,2024,TRUE,FALSE
20240325,2024-03-25,25,13,3,1,2024,FALSE,FALSE
20240326,2024-03-26,26,13,3,1,2024,FALSE,FALSE
20240327,2024-03-27,27,13,3,1,2024,FALSE,FALSE
20240328,2024-03-28,28,13,3,1,2024,FALSE,FALSE
20240329,2024-03-29,29,13,3,1,2024,FALSE,FALSE
20240330,2024-03-30,30,13,3,1,2024,TRUE,FALSE
20240331,2024-03-31,31,13,3,1,2024,TRUE,FALSE
20240401,2024-04-01,1,14,4,2,2024,FALSE,FALSE
20240402,2024-04-02,2,14,4,2,2024,FALSE,FALSE
20240403,2024-04-03,3,14,4,2,2024,FALSE,FALSE
20240404,2024-04-04,4,14,4,2,2024,FALSE,FALSE
20240405,2024-04-05,5,14,4,2,2024,FALSE,FALSE
20240406,2024-04-06,6,14,4,2,2024,TRUE,FALSE
20240407,2024-04-07,7,14,4,2,2024,TRUE,FALSE
20240408,2024-04-08,8,15,4,2,2024,FALSE,FALSE
20240409,2024-04-09,9,15,4,2,2024,FALSE,FALSE
20240410,2024-04-10,10,15,4,2,2024,FALSE,FALSE
20240411,2024-04-11,11,15,4,2,2024,FALSE,FALSE
20240412,2024-04-12,12,15,4,2,2024,FALSE,FALSE
20240413,2024-04-13,13,15,4,2,2024,TRUE,FALSE
20240414,2024-04-14,14,15,4,2,2024,TRUE,FALSE
20240415,2024-04-15,15,16,4,2,2024,FALSE,FALSE
20240416,2024-04-16,16,16,4,2,2024,FALSE,FALSE
20240417,2024-04-17,17,16,4,2,2024,FALSE,FALSE
20240418,2024-04-18,18,16,4,2,2024,FALSE,FALSE
20240419,2024-04-19,19,16,4,2,2024,FALSE,FALSE
20240420,2024-04-20,20,16,4,2,2024,TRUE,FALSE
20240421,2024-04-21,21,16,4,2,2024,TRUE,FALSE
20240422,2024-04-22,22,17,4,2,2024,FALSE,FALSE
20240423,2024-04-23,23,17,4,2,2024,FALSE,FALSE
20240424,2024-04-24,24,17,4,2,2024,FALSE,FALSE
20240425,2024-04-25,25,17,4,2,2024,FALSE,FALSE
20240426,2024-04-26,26,17,4,2,2024,FALSE,FALSE
20240427,2024-04-27,27,17,4,2,2024,TRUE,FALSE
20240428,2024-04-28,28,17,4,2,2024,TRUE,FALSE
20240429,2024-04-29,29,18,4,2,2024,FALSE,FALSE
20240430,2024-04-30,30,18,4,2,2024,FALSE,FALSE
20240501,2024-05-01,1,18,5,2,2024,FALSE,FALSE
20240502,2024-05-02,2,18,5,2,2024,FALSE,FALSE
20240503,2024-05-03,3,18,5,2,2024,FALSE,FALSE
20240504,2024-05-04,4,18,5,2,2024,TRUE,FALSE
20240505,2024-05-05,5,18,5,2,2024,TRUE,FALSE
20240506,2024-05-06,6,19,5,2,2024,FALSE,FALSE
20240507,2024-05-07,7,19,5,2,2024,FALSE,FALSE
20240508,2024-05-08,8,19,5,2,2024,FALSE,FALSE
20240509,2024-05-09,9,19,5,2,2024,FALSE,FALSE
20240510,2024-05-10,10,19,5,2,2024,FALSE,FALSE
20240511,2024-05-11,11,19,5,2,2024,TRUE,FALSE
20240512,2024-05-12,12,19,5,2,2024,TRUE,FALSE
20240513,2024-05-13,13,20,5,2,2024,FALSE,FALSE
20240514,2024-05-14,14,20,5,2,2024,FALSE,FALSE
20240515,2024-05-15,15,20,5,2,2024,FALSE,FALSE
20240516,2024-05-16,16,20,5,2,2024,FALSE,FALSE
20240517,2024-05-17,17,20,5,2,2024,FALSE,FALSE
20240518,2024-05-18,18,20,5,2,2024,TRUE,FALSE
20240519,2024-05-19,19,20,5,2,2024,TRUE,FALSE
20240520,2024-05-20,20,21,5,2,2024,FALSE,FALSE
20240521,2024-05-21,21,21,5,2,2024,FALSE,FALSE
20240522,2024-05-22,22,21,5,2,2024,FALSE,FALSE
20240523,2024-05-23,23,21,5,2,2024,FALSE,FALSE
20240524,2024-05-24,24,21,5,2,2024,FALSE,FALSE
20240525,2024-05-25,25,21,5,2,2024,TRUE,FALSE
20240526,2024-05-26,26,21,5,2,2024,TRUE,FALSE
20240527,2024-05-27,27,22,5,2,2024,FALSE,FALSE
20240528,2024-05-28,28,22,5,2,2024,FALSE,FALSE
20240529,2024-05-29,29,22,5,2,2024,FALSE,FALSE

Aviation Analytics Mart -- Redshift | Table: dim_airline
Airline master dimension -- SCD Type 1 (overwrite on change). One row per operating carrier. active_flag identifies airlines currently active in the network.
airline_key,airline_code,airline_name,country,alliance,carrier_type,active_flag
1,AA,American Airlines,USA,Oneworld,Mainline,TRUE
2,DL,Delta Air Lines,USA,SkyTeam,Mainline,TRUE
3,UA,United Airlines,USA,Star Alliance,Mainline,TRUE
4,WN,Southwest Airlines,USA,,Low Cost,TRUE
5,BA,British Airways,UK,Oneworld,Mainline,TRUE
6,LH,Lufthansa,Germany,Star Alliance,Mainline,TRUE
7,AF,Air France,France,SkyTeam,Mainline,TRUE
8,KL,KLM,Netherlands,SkyTeam,Mainline,TRUE
9,EK,Emirates,UAE,,Mainline,TRUE
10,QR,Qatar Airways,Qatar,Oneworld,Mainline,TRUE
11,SQ,Singapore Airlines,Singapore,Star Alliance,Mainline,TRUE
12,CX,Cathay Pacific,Hong Kong,Oneworld,Mainline,TRUE
13,QF,Qantas,Australia,Oneworld,Mainline,TRUE
14,AC,Air Canada,Canada,Star Alliance,Mainline,TRUE
15,NH,ANA,Japan,Star Alliance,Mainline,TRUE
16,JL,Japan Airlines,Japan,Oneworld,Mainline,TRUE
17,TK,Turkish Airlines,Turkey,Star Alliance,Mainline,TRUE
18,LX,Swiss,Switzerland,Star Alliance,Mainline,TRUE
19,IB,Iberia,Spain,Oneworld,Mainline,TRUE
20,AZ,ITA Airways,Italy,SkyTeam,Mainline,TRUE
21,EY,Etihad Airways,UAE,,Mainline,TRUE
22,SV,Saudia,Saudi Arabia,,Mainline,TRUE
23,AI,Air India,India,Star Alliance,Mainline,TRUE
24,6E,IndiGo,India,,Low Cost,TRUE
25,SG,SpiceJet,India,,Low Cost,TRUE
26,FR,Ryanair,Ireland,,Low Cost,TRUE
27,U2,easyJet,UK,,Low Cost,TRUE
28,B6,JetBlue Airways,USA,,Low Cost,TRUE
29,NK,Spirit Airlines,USA,,Ultra Low Cost,TRUE
30,F9,Frontier Airlines,USA,,Ultra Low Cost,TRUE
31,AS,Alaska Airlines,USA,Oneworld,Mainline,TRUE
32,HA,Hawaiian Airlines,USA,,Mainline,TRUE
33,VS,Virgin Atlantic,UK,,Mainline,TRUE
34,MH,Malaysia Airlines,Malaysia,,Mainline,TRUE
35,GA,Garuda Indonesia,Indonesia,,Mainline,TRUE
36,TG,Thai Airways,Thailand,Star Alliance,Mainline,TRUE
37,VN,Vietnam Airlines,Vietnam,SkyTeam,Mainline,TRUE
38,PR,Philippine Airlines,Philippines,,Mainline,TRUE
39,CI,China Airlines,Taiwan,SkyTeam,Mainline,TRUE
40,BR,EVA Air,Taiwan,Star Alliance,Mainline,TRUE
41,KE,Korean Air,South Korea,SkyTeam,Mainline,TRUE
42,XI,USA Cargo Airlines,USA,,Cargo,TRUE
43,CS,New Zealand Cargo Airlines,New Zealand,,Low Cost,FALSE
44,HQ,France Connect Airlines,France,,Regional,TRUE
45,HO,India Frontier Airlines,India,,Charter,TRUE
46,KIC,Germany Regional Airlines,Germany,,Cargo,TRUE
47,CM,Mexico National Airlines,Mexico,,Regional,TRUE
48,IZ,Peru Metro Airlines,Peru,,Regional,TRUE
49,MC,Mexico Frontier Airlines,Mexico,,Charter,TRUE
50,WCA,South Africa Northern Airlines,South Africa,,Cargo,TRUE
51,DM,Spain Connect Airlines,Spain,,Charter,TRUE
52,LL,Germany Metro Airlines,Germany,,Cargo,TRUE
53,UF,Peru Connect Airlines,Peru,,Cargo,TRUE
54,UW,Italy Island Airlines,Italy,,Cargo,TRUE
55,BZ,Spain Express Airlines,Spain,,Charter,TRUE
56,SW,France Connect Airlines,France,,Charter,TRUE
57,UO,Egypt Summit Airlines,Egypt,,Cargo,TRUE
58,RI,New Zealand Atlantic Airlines,New Zealand,,Low Cost,TRUE
59,HE,South Africa Island Airlines,South Africa,,Low Cost,TRUE
60,EU,Mexico Express Airlines,Mexico,,Cargo,TRUE
61,MTH,Peru Highland Airlines,Peru,,Charter,TRUE
62,VR,Mexico Regional Airlines,Mexico,,Charter,TRUE
63,JN,Mexico National Airlines,Mexico,,Cargo,TRUE
64,YF,Australia Continental Airlines,Australia,,Regional,TRUE
65,ELC,Australia Global Airlines,Australia,,Regional,TRUE
66,ZJD,USA Summit Airlines,USA,,Regional,TRUE
67,PCI,Brazil Alpine Airlines,Brazil,,Cargo,TRUE
68,FI,New Zealand Summit Airlines,New Zealand,,Low Cost,TRUE
69,WJ,France Frontier Airlines,France,,Low Cost,TRUE
70,QO,China Metro Airlines,China,,Regional,TRUE
71,RHD,Kenya Connect Airlines,Kenya,,Regional,TRUE
72,CB,Spain Express Airlines,Spain,,Charter,TRUE
73,VP,Italy Atlantic Airlines,Italy,,Cargo,TRUE
74,PH,Chile Alpine Airlines,Chile,,Low Cost,TRUE
75,DV,Mexico Pacific Airlines,Mexico,,Low Cost,TRUE
76,XB,China Highland Airlines,China,,Regional,TRUE
77,HG,Mexico National Airlines,Mexico,,Cargo,TRUE
78,OHB,India Charter Airlines,India,,Low Cost,TRUE
79,BU,Mexico Frontier Airlines,Mexico,,Regional,TRUE
80,NP,Germany Atlantic Airlines,Germany,,Low Cost,TRUE
81,FM,Canada Island Airlines,Canada,,Regional,TRUE
82,WXI,China Continental Airlines,China,,Low Cost,TRUE
83,BS,France Global Airlines,France,,Regional,TRUE
84,SP,Canada Express Airlines,Canada,,Cargo,TRUE
85,FC,Brazil Horizon Airlines,Brazil,,Regional,TRUE
86,DS,Egypt Atlantic Airlines,Egypt,,Cargo,TRUE
87,CN,Peru Express Airlines,Peru,,Charter,TRUE
88,HI,Kenya Pacific Airlines,Kenya,,Low Cost,TRUE
89,KY,China Global Airlines,China,,Regional,FALSE
90,DC,Chile Northern Airlines,Chile,,Cargo,TRUE
91,CH,South Africa Charter Airlines,South Africa,,Charter,TRUE
92,TZI,New Zealand Coastal Airlines,New Zealand,,Regional,TRUE
93,VD,Nigeria Frontier Airlines,Nigeria,,Cargo,TRUE
94,EI,New Zealand Cargo Airlines,New Zealand,,Charter,TRUE
95,VU,France National Airlines,France,,Charter,TRUE
96,CU,Canada Continental Airlines,Canada,,Low Cost,TRUE
97,EUE,USA Express Airlines,USA,,Cargo,TRUE
98,RA,India Frontier Airlines,India,,Regional,TRUE
99,BL,New Zealand Charter Airlines,New Zealand,,Cargo,TRUE
100,LZ,Nigeria Express Airlines,Nigeria,,Regional,TRUE

Aviation Analytics Mart -- Redshift | Table: dim_aircraft
Aircraft registry dimension -- SCD Type 1. One row per tail number. operator_airline_key links each aircraft to its assigned carrier in dim_airline.
aircraft_key,tail_number,aircraft_type,manufacturer,delivery_year,retirement_year,operator_airline_key
1,N798HV,Boeing 787-9,Boeing,2001,,72
2,N995NT,Boeing 767-300F,Boeing,2021,,20
3,N342FZ,Boeing 767-300F,Boeing,2023,,23
4,N522AF,Boeing 767-300F,Boeing,2021,,43
5,N521ZV,Bombardier CRJ900,Bombardier,2021,,32
6,N263ZW,Boeing 747-8F,Boeing,2001,,5
7,N581HG,ATR 72-600,ATR,2012,,45
8,N940ZH,Boeing 747-8F,Boeing,2005,2023,52
9,N385CY,Airbus A320neo,Airbus,2006,,66
10,N795RK,Airbus A321neo,Airbus,1998,2017,23
11,N371BD,Airbus A380-800,Airbus,2017,,56
12,N846ZK,Airbus A320neo,Airbus,2011,,78
13,N218MS,Airbus A350-900,Airbus,2004,2025,1
14,N925RV,Airbus A350-900,Airbus,2021,,95
15,N786GL,Embraer E175,Embraer,2011,,9
16,N438TK,Embraer E190,Embraer,2019,,16
17,N407QJ,Embraer E175,Embraer,2019,,53
18,N512WJ,Airbus A320neo,Airbus,2015,,17
19,N530VM,Boeing 787-9,Boeing,2019,,96
20,N278TS,Boeing 767-300F,Boeing,2007,,1
21,N393GN,Boeing 747-8F,Boeing,2023,,75
22,N770KO,Airbus A380-800,Airbus,2012,,57
23,N318QP,Embraer E190,Embraer,2023,,95
24,N774CJ,Boeing 777-300ER,Boeing,2014,,85
25,N734KC,Embraer E190,Embraer,2022,,31
26,N417HZ,Embraer E190,Embraer,2004,2019,32
27,N725YC,Airbus A330-300,Airbus,2012,,54
28,N744SG,Boeing 767-300F,Boeing,2020,,90
29,N606MH,Airbus A321neo,Airbus,2002,,1
30,N868YD,Boeing 767-300F,Boeing,2022,,55
31,N280ZW,Boeing 787-9,Boeing,2014,,60
32,N670HD,Boeing 737-800,Boeing,2012,,18
33,N575VQ,Bombardier CRJ900,Bombardier,2015,,77
34,N873OT,Airbus A320neo,Airbus,2021,,65
35,N950RO,Airbus A321neo,Airbus,2003,,61
36,N365YH,Airbus A330-300,Airbus,2018,,36
37,N896QP,Bombardier CRJ900,Bombardier,2018,,31
38,N550CW,Boeing 747-8F,Boeing,2007,2027,41
39,N653CE,Boeing 767-300F,Boeing,2002,2019,91
40,N165NN,Boeing 787-9,Boeing,2008,,54
